Artikelname;EAN;SKU;Brand;MwSt;EKnetto;UVP;Inhalt;Beschreibung;Anwendung;INCI;product_description;product_photos;product_attributes
AGELESS total facial cleanser;819984011236;A-200;IMAGE Skincare;19;18,50 €;37,00 €;177 ml;"Ein universeller Gesichtsreiniger für den täglichen Gebrauch zur Exfoliation und zum sanften Entfernen von Make-up
mit belebender Wirkung für eine maximale Hautbalance.
Die Kunden genießen eine gereinigte, glattere Haut mit erfrischendem Menthol und der Zellaustausch wird angeregt.";"Morgens und abends eine geringe Menge in die befeuchteten Handflächen geben und 1 Minute in die Haut einmassieren.
Mit kaltem Wasser entfernen. Während der Schwangerschaft/Stillzeit empfehlen wir die Rücksprache mit einem Arzt.
Nach der Anwendung starke Sonnenexposition meiden. Ausreichend Sonnenschutz verwenden.";"Aqua/Water/Eau, Glycolic Acid, Ammonium Laureth Sulfate, Ammonium Lauryl Sulfate, Ammonium Hydroxide, Glycerin, Cocamidopropyl Hydroxysultaine, Phenoxyethanol,
Glycol Distearate, Laureth-10, Caprylyl Glycol, Ammonium Sulfate, Ammonium Chloride, Menthol, Aloe Barbadensis Leaf Juice, Ethylhexylglycerin, Hexylene Glycol, Hydroxypropyl
Methylcellulose, Sodium Benzoate, Sodium Chloride, Glyoxal, Rosmarinus Officinalis (Rosemary) Leaf Extract.";Ein täglicher, universeller Reiniger, der sanft Make-Up und abgestorbene Hautzellen entfernt und für eine optimale Hautbalance sorgt. Universeller 3-in-1-Gesichts- und Körperreiniger, der Make-Up und Oberflächenöl entfernt, den natürlichen pH-Wert der Haut wiederherstellt und Gesichtswasser überflüssig macht. Eine sanfte Glykolsäure-Mischung zur Exfoliation. Hinterlässt die Haut sanft und geschmeidig. Durch einen Anteil von 10% Glykolsäure sorgt der AHA-Exfoliator, zur Erneuerung und Verjüngung der Haut. Der Inhaltstoff Grüner Tee reduziert Sonnenschäden, schützt die Haut vor freien Radikalen und verfügt über zahlreiche entzündungshemmende Eigenschaften. Nach der Reinung erfrischt das begefügte Menthol die Haut.;['https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSZR3AcjLdnhK4p1EX0rRaqMC6S-gqDiyVFrCJmEUd4MugFjI0Ue6pTDLuX7ny2IqeS-EA6Y4YCOmvoELzjGkHtiYDoPCoyOQ&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSJPx5p1EA3Sf2qvfSNYM8MCmFqQ2F0_a7_gxSqqMJ4s0QIFt_GSNpE_WpP8qRSuCnymySjzXVX6HWA7lRvUGx_duplQdyThw&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT8iVV1oQmxyUBIaAZSnyk5hYfuPPAxPLu_Sc6sRGStn9rttwL3D9NZ9KnGSx4E-NYWYkqvIJx_c9Gk5PXnZJAy4RMP9KTb&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSd7uGs287eOtEV04S6roYy6RAJ6CDB0ngfofH8QzHadpP-fwGxoXKjjCyXEKAL3B6iTq20vl77FnX5l6yTWuKnzlO_TufV&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSBeQ4yMNDPeDKe2izUkkaSHDBTFBemmhhobw9iXj6Qn_S02Lr2eDl6Gw1ntvmZ5xF9C9_nJWSKmi61J-z9HKXgDW_2qOz-&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS9lai9vcYa7p-WPjw2M9DbD6ZhteXlbRD3fmXvYrCTUL4zSOlVb0BCP2YoDrQFWbjIUd3_jEQaa-HkNwxUH_0vpNcyOXf2XA&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQl6uuCU5CDTUs9yelCS9mqz_xrqE0jXJLwYgSUD-8ipbJhSMbfi-bOcL-D-nRKDliQeJ4y_iwEiZHuOqUeofEGhKwIYfLXTw&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTeYZekhPooGwCSIHcdfHvyqUZXW99S9oqdBWVXFovIcL6BEGtNRBVWC4FOJzjtHVfhgO0BaKyMj1CIzd8QZtPRnj0ON215&usqp=CAE'];{'Eigenschaften': 'Feuchtigkeitsspendend, Anti-Aging, Ölfrei', 'Hauttyp': 'Für Fettige Haut, Für Mischhaut', 'Hauptbestandteil': 'Glykolsäure, Grüner Tee, Zitronensäure, Hyaluronsäure, Pflanzenextrakte'}
AGELESS total anti-aging serum;819984011069;A-201;IMAGE Skincare;19;41,00 €;82,00 €;50 ml;"Eine einzigartige kosmezeutische Mischung aus Alpha-Hydroxy-Säuren in Verbindung mit Apfelstammzelltechnologie. Schützt
Hautzellen vor oxidativem Stress und bekämpft Alterungseffekte der Haut. Eine Mischung aus potenten Antioxidantien spendet
Feuchtigkeit für strahlende Haut. Mit Hilfe der Vectorize Technology™ werden über einen Zeitraum von bis zu 48 Stunden.
Wirkstoffe in die verschiedenen Hautschichten eingebracht um eine langanhaltende, optimale Wirkung zu erzielen.";"Morgens und abends auf das gereinigte Gesicht auftragen.
Während der Schwangerschaft/Stillzeit empfehlen wir die Rücksprache mit einem Arzt.
Nach der Anwendung starke Sonnenexposition meiden. Ausreichend Sonnenschutz verwenden.";"Aqua/Water/Eau, Glycerin, Polysorbate 20, Lactic Acid, Glycolic Acid, Aloe Barbadensis Leaf Extract, Propylene Glycol, Phenoxyethanol, Caprylic/Capric Triglyceride,
Hydroxyethylcellulose, Citrus Aurantium Dulcis (Orange) Peel Oil, Limonene, Pullulan, Sodium Hydroxide, Ethylhexylglycerin, Simmondsia Chinensis (Jojoba) Seed Oil,
Artemisia Vulgaris Extract, Laminaria Digitata Extract, Malus Domestica Fruit Cell Culture Extract, Butylene Glycol, Malic Acid, Nannochloropsis Oculata Extract,
Vanilla Planifolia Fruit Extract, Sodium Hyaluronate, Yeast Polysaccharides, Hydroxypropyl Cyclodextrin, Potassium Sorbate, Sodium Benzoate, Tetrahexyldecyl Ascorbate,
Xanthan Gum, Cucumis Sativus (Cucumber) Fruit Extract, Disodium Phosphate, Polysorbate 60, Anthemis Nobilis Flower Extract, Arnica Montana Flower Extract,
Vitis Vinifera (Grape) Seed Extract, Linalool, Lecithin, Sodium Phosphate, Palmitoyl Tripeptide-38.";Dieses konzentrierte Serum ist reich an pflanzlichen Stammzellen, Phytonährstoffen und Vitamin C, um die sichtbaren Zeichen des Alterns zu verringern und gleichzeitig der Haut bei der Bekämpfung von oxidativem Stress zu helfen. Arzt formuliert. Hilft, das Aussehen der Haut aufzuhellen und zu straffen. Peeling abgestorbene Hautzellen und verbessert die Klarheit der Haut.;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQrTILIr8V9HSdTq0wprTln0EeQ7IPuGk17MWV2b2_UHTQmPElMvO14fAGsOtNwL8NzRnXlyVKE7AglICVpbN6iJ8lT960m&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTUMx6lTZCyuW85Yz2nUDMT18BhMOCUOtXpiUK8jLb4fmqGN02hkWqzRFrGy8zogXFdElRnbv53_8QYIlpqzSs-_puDL3bx&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTXVxOUGlpTi6XlfQzdqH-SG0-bU4Lq8guIz9X6X1zYH7JbSbk3D_r5dFZIlqMTPUvO84WEojtkb3-ZDN9nmwKfn51opR2WTA&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRqY6zxdQof2nyI0GdRyQzdFcgO3JUmhc8HCj4b4N3GUvOdeaW8fnF1k6lHQNRAhJeXU-oTjzMisVgHzrypnPySA_afRJTL&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQzrdZnhSu4oXXWA_i5a4hDdq39vEOgZwWUmcLiBW2PR8heZsgbNOpjHxYNwu8JXiE0u1Qgnhc7cfpdPu3jgq6OQPNXmoVp3w&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQkDQj5r4j6TcR555hvFHgrSHfgnhgMN3MNp71CmCGTEEHaI9T9op70T6od2kMI_aoyuEk0NGLXLtfTrcZYIlBoCL2ygA3F2w&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRM-R5xQa_VnmfLgovMdlFxNXRJGhb_PFz80F5UBK6qcWdINk_FUNWeVGvepGQFccTQYKkd5Jx5QDiH-VFAPlArN25TMfAX&usqp=CAE'];{'Hauttyp': 'Fettig', 'Inhaltsstoffe': 'Retinol, AHA, Aloe Vera, Glykolsäure, Vitamin C, Samenöl, Hyaluronsäure, Resveratrol', 'Eigenschaften': 'Ölfrei'}
AGELESS total resurfacing masque;819984011113;A-303;IMAGE Skincare;19;22,00 €;44,00 €;57 g;"Multiexfolierende Maske mit Alpha- und Beta-Hydroxy-Säuren zum Resurfacing, Abtragung abgestorbener Hautzellen und
Freilegung eines jugendlicher wirkenden, strahlend schönen Hautbildes.
Eine Mikropeeling-Maske mit Alpha-Hydroxy-Säuren zum Resurfacing und zur Verjüngung der Haut. Die Haut wird sichtbar
geschmeidig und der Hautton wird ausgeglichen.
Kann als Heimpeeling mit jedem IMAGE-Reiniger gemischt werden.";"1 – 3 Mal pro Woche eine dünne Schicht auf die gereinigte Haut auftragen. 5 – 30 Minuten einwirken lassen und gründlich
mit kaltem Wasser entfernen. Während der Schwangerschaft/Stillzeit empfehlen wir die Rücksprache mit einem Arzt.
Nach der Anwendung starke Sonnenexposition meiden. Ausreichend Sonnenschutz verwenden.";"Aqua/Water/Eau, Alumina, Jojoba Esters, Glycerin, Dimethicone, Glycolic Acid, Glyceryl Stearate, Peg-100 Stearate, Palmitic Acid, Stearic Acid, Cetyl Alcohol, Titanium Dioxide
(Ci 77891), Caprylic/Capric Triglyceride, Phenoxyethanol, Butylene Glycol, Eucalyptus Globulus Leaf Oil, Aloe Barbadensis Leaf Extract, Sodium Hydroxide, Hamamelis Virginiana (Witch
Hazel) Water, Magnesium Aluminum Silicate, Zea Mays (Corn) Starch, Lactic Acid, Decyl Glucoside, Salicylic Acid, Xanthan Gum, Carica Papaya (Papaya) Fruit Extract, Ethylhexylglycerin,
Glycine Soja (Soybean) Sterols, Linoleic Acid, Phospholipids, Alcohol, Allantoin, Berberis Vulgaris Fruit Extract, Limonene, Sodium Phytate, Ascorbic Acid, Cedrus Atlantica (Cedarwood)
Bark Oil, Arnica Montana Flower Extract, Hypericum Perforatum Flower/Leaf/Stem Extract, Yeast Extract, Calendula Officinalis Flower Extract, Cucumis Sativus (Cucumber) Fruit
Extract, Hedera Helix (Ivy) Leaf/Stem Extract.";Eine einzigartige Mischung aus Multi-Hydroxy-Säuren, die feine Linien reduziert, exfoliert, um die Zellerneuerung zu fördern und ein klares Hautbild zu schaffen. Verjüngt die Haut und hellt auf. Bei Schwangerschaft wird eine Rücksprache mit Ihrem Arzt empfohlen. Nach der Anwendung starke Sonnenexposition meiden. Ausreichend Sonnenschutz verwenden. Inhaltsstoffe Water/aqua/eau, alumina, jojoba esters, glycerin, stearic acid, dimethicone, glycolic acid, glyceryl stearate, peg-100 stearate, cetyl alcohol, titanium dioxide (ci 77891), caprylic/capric triglyceride, phenoxyethanol, butylene glycol, eucalyptus globulus leaf oil, aloe barbadensis leaf extract, hamamelis virginiana (witch hazel) water, magnesium aluminum silicate, zea mays (corn) starch, decyl glucoside, lactic acid, c10-16 alkyl glucoside, salicylic acid, sodium hydroxide, xanthan gum, carica papaya (papaya) fruit extract, ethylhexylglycerin, glycine soja (soybean) sterols, linoleic acid, phospholipids, alcohol, allantoin, berberis vulgaris fruit extract, mentha viridis leaf oil, limonene, sodium phytate, ascorbic acid, cedrus atlantica bark oil, arnica montana flower extract, citrus grandis (grapefruit) fruit extract, hypericum perforatum flower/leaf/stem extract, yeast extract, aesculus hippocastanum (horse chestnut) seed extract, calendula officinalis flower extract, cucumis sativus (cucumber) fruit extract, hedera helix (ivy) leaf/stem extract.;['https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRtWysBU-XNqKazvcYAXp5ezWT7hru53Q2VLo5BDBhsLN1fzuJl&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSxUohE6kxySzXuYMq-L-nniP6exhUJnpygjw5PFYysq7woXX3HKZ6Pd9xwZL57d5fnzhGnwepn6NcSX924u1IEzKZoNHKa&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSy10ZL2Sw_kaLDP8YwqlulzvI_QyTKqOqSHB8tRqoW1kJ7OhEbDQinwaRSzx6kPhQavl4lglDbcDVJH91XySWMkUJ4_VJf&usqp=CAE'];{'Eigenschaften': 'Nachtmaske', 'Hauptbestandteil': 'Milchsäure, Salicylsäure, Gurke, Papaya, Zitrusfrüchte, Glykolsäure', 'Wirkung': 'Faltenglättung, Tiefenreinigung', 'Hauttyp': 'Fettige Haut'}
AGELESS total pure hyaluronic6 filler;819984013902;A-209;IMAGE Skincare;19;42,00 €;84,00 €;30 ml;"Konzentrierter Filler mit 6 Formen von Hyaluronsäure niedrigen und hohen Molekulargewichts zur schnelleren Glättung der
Anzeichen von Falten. Spendet unmittelbar und sichtbar intensiv Feuchtigkeit und füllt feine Linien ohne Injektion!";"Morgens und abends auf die gereinigte Haut auftragen. Zur zusätzlichen Feuchtigkeitszufuhr, Anwendung wiederholen oder
mit einem anderen IMAGE-Produkt mischen.";"Aqua/Water/Eau, Polysorbate 20, Sodium Hyaluronate, Citrus Aurantium Dulcis (Orange) Peel Oil, Dimethylsilanol Hyaluronate, Ethylhexylglycerin, Hyaluronic Acid, Hydrolyzed
Hyaluronic Acid, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Panthenol, Pentylene Glycol, Phenoxyethanol, Prunus Armeniaca (Apricot) Kernel Oil, Sodium Hyaluronate
Crosspolymer, Sodium Hydroxide, Tocopheryl Acetate.";Konzentriertes Serum mit 6 verschiedenen Hyaluronsäureformen, die unterschiedliche Molekulargewichte aufweisen. Entsprechend ergeben sich sofortige sowie zeitversetzte und langanhaltende Glättungen von feinen Linien und Falten. Von Ärzten entwickelt. Anwendung Morgens und abends auf die gereinigte Haut auftragen oder zur zusätzlichen Hydration mit einem IMAGE Skincare Serum bzw. einer Crème mischen. Kann für zusätzliche Hydration und zur Reduktion von Irritationen zu jedem bestehenden Pflegeprogramm zugefügt werden. Inhaltsstoffe Aqua (water), dimethylsilanol hyaluronate, polysorbate 20, sodium hyaluronate, phenoxyethanol, hydrolyzed hyaluronic acid, sodium hyaluronate crosspolymer, citrus aurantium dulcis (orange) peel oil, limonene, ethylhexylglycerin, panthenol, sodium hydroxide, pentylene glycol, leuconostoc/radish root ferment filtrate, prunus armeniaca (apricot) kernel oil (organic), tocopheryl acetate, hyaluronic acid.;['https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQqMdAIpweTrMNBCDcka00C5gvl7ZDs4oJVWPULTduReCay-5M0cHM5HPrGd217YwUl-dTQj-n2T0mcX1XCBC69GBjMbaMd&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQTOBmxuc01y3cYpIW1UWqyEnGYkRzYRv1kDj0krfh-hqdiX8FU62790Cxc4k0J_eDODdjasPSw3o3_0XIwvO6Lgl0ZETn5&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSJPaQntx9jVE1lNNQQCSOzWhgtN8-aPnQCrTaou5CHVByz2pPHsFGSL-tWqABZXt5shfsPB74oC3CnJKqZsF966UgAPnD4&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQJrMg95mHWzrnWP_Cm_FDfZbtbOxv31X1WbD3IXh-uDg0FoZOMOEXsxOr3plfxIrB0dvl3bTlp2jtfdIKGH_c31iBOneHiUg&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRY4skOPpwZWUE2pXgZDZvzbUsVrDV48KoSQAJaLsmGYEsiYl3R2Fsc87ShXBndohWEX3EUQBXG8cafOqeqOQOdYu4GNaQuUg&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR96XQWnyrI0i0jg02Td-6xc41dV3t4lhPy0Kaqv7TbKyGPSH1eI59Iw7ogDAnGg9-DayEO3pgIgcxm1NsZDct99wzAc42_&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRhTNPHideE-0Ko78GMcXG0qHXmK5OCTVSPlSTU5xM-oq_7QgG8ZGPdhG91qY4Cvk8if3Wj1yEtVL2Zkw5TKAmAgKeKCYrrUg&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTeDS6j0EtQ1fIO6VxGkW9spgFVctciPlF5EMtU2OB3VJ8n2Fl8LdSAYgJ7fiv8V4yrQA4BvvQ7h2_xgpecLX6FDbsbue5v&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQPhRSyHZzDjerpd7HfwKPUcZGLF6JdhVtY16pNyHAKEsemP5nSJVIpBPsD0OmJw1TQDuuF4QzuHogk8hnm_8IN_LJ2foDC&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSO3-EKlNxMoxg89G41nrgVvasRvaP8-zNuYEXS1IvpYswWL8AFLgMliqVkAaizZ-bRbx27Ys6KsHaniguAskYIxGUirukC_w&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQt3S0xHtYwZW2DGzgM9lDMOvmYMhjMAavhnf25rfvIxKfxAMWrG1KsacfNrFjJDFQkIub-081rceAn93N4Xa3ZcAtxZvrfeg&usqp=CAE'];{'Inhaltsstoffe': 'Retinol, AHA, Vitamin E, Natriumhyaluronat, Hyaluronsäure, Panthenol', 'Wirkung': 'Anti-Aging', 'Hauttyp': 'Trocken', 'Form': 'Serum', 'Eigenschaften': 'Parfümfrei'}
AGELESS total microderm exfoliator;819984017061;A-211;IMAGE Skincare;19;24,50 €;49,00 €;42 g;"Ein 3-in-1 Peeling für zu Hause, das von der professionellen Mikrodermabrasion inspiriert wurde. Es gleicht den Hautton aus
und hinterlässt die Textur der Haut sanft und gepeelt, sodass die nachfolgend aufgetragenen Wirkstoffe optimal in die Haut
eindringen können.";"Auf die gereinigte Haut auftragen und mit angefeuchteten Händen bis zu eine Minute einmassieren.
Mit lauwarmem Wasser abnehmen. Nicht länger als 3 Minuten auf der Haut belassen.
Ein erfrischendes Mentholderivat bietet einen sofortigen Kühlungseffekt auf der Haut.";"Aqua/Water/Eau, Bambusa Arundinacea Stem Extract, Glycerin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Gluconolactone, Citric Acid, Xylitylglucoside, Menthyl Lactate,
Actinidia Chinensis, (Kiwi) Fruit Extract, Ananas Sativus (Pineapple) Fruit Extract, Averrhoa Carambola Fruit Extract, Garcinia Mangostana Fruit Extract, Litchi Chinensis Fruit Extract,
Passiflora Incarnata Fruit Extract, Psidium Guajava Fruit Extract, Punica Granatum Extract, Zizyphus Jujuba Fruit Extract, Anhydroxylitol, Malic Acid, Mandelic Acid, Niacinamide,
Sodium Benzoate, Xylitol, Arnica Montana Flower Extract, Mentha Viridis Leaf Oil, Euconostoc/Radish Root Ferment Filtrate, Quartz, Limonene, Calcium Gluconate, Sodium Hydroxide.";Dieses Microderm Peeling verfeinert stumpfe, unebene Haut. Angetrieben von Fruchtenzymen, Polyhydroxysäure, Rosenquarz-Mikrokristallen und Bambuspulver, bietet die kiesige Gel-basierte Formel unser fortschrittlichstes und gründliches Peeling, um abgestorbene Haut zu entfernen. Dieses kraftvolle Gesichtspeeling hinterlässt Hautton und Textur verfeinert und geschmeidig. Ein erfrischendes Mentholderivat sorgt beim Auftragen für ein kühlendes Gefühl.;['https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQvEp1Em5oDE2p56F_CfQDj7pO50_w0GN-rgGlAvhukAaz3nPRtvdR4ZG7XqMmRS11n30CQ5xw8xnzpCMMctBsu6RH-jXQnUA&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT7XXOJbY6mS-motnKxP-qW6bJLtlWDOgym5ndyPibrK8fA2R0kHLfFJsDhmt_1A7y6FGeCq2AMoG8vm8MznUA60v88tnU2dg&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTgVZ5eOqEylVTX6Z7mnLPWU7WC8vz4BuQVO_oJ2vAjl-_90i-GJiQ1gWkdkx4VyPNedq2KJHX9_pBbxzBu8Nv5_MKCZyVc1w&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTpKjMZRyuZ5pK7HRTx5ERWRUqfEVkFkaBdN1Dmh24Q2ZkagHzRJ0G2wDMnC7eKR2_Udk-SDzy7kIq7vRCfFzW0bsapHCShsw&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQTlyXIIT1d5ONhP4AHjoVBKfz7xCQiqMSJSXphprfDAA9En3QKToKuC4Dg5rCe1XG_1SPdLyj0ii42124nvlKCyBzZQtOf&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSP5jsKujTL6XWWId6we6NYJLBe9xn9E-y6Fbmrvm31kGt_9nZML-ypovioHyMMBMTIIpztEKsYFLEHIu_gUXk9grNmNSvX4A&usqp=CAE'];{'Hauttyp': 'Alle Hauttypen', 'Eigenschaften': 'Anti-Aging', 'Hauptbestandteil': 'Zitronensäure', 'Form': 'Gel'}
the MAX™ facial cleanser;819984010109;M-200;IMAGE Skincare;19;18,50 €;37,00 €;118 ml;"Ein schonender säure-und sulfatfreier Reiniger für den täglichen Gebrauch zum Ausgleich und zur Optimierung
des pH-Werts der Haut. Pflanzliche Stammzellen und Pflanzenextrakte versorgen die Haut mit Nährstoffen und
schützen sie vor Umweltschadstoffen.";"Morgens und abends eine geringe Menge auf das angefeuchtete Gesicht auftragen und ca. 1 Minute einmassieren.
Mit warmem Wasser entfernen.";"Water/Aqua/Eau, Sodium Lauroyl Methyl Isethionate, Glycol Distearate, Peg-7 Glyceryl Cocoate, Cocamidopropyl Betaine, Trisodium Ethylenediamine Disuccinate, Acrylates Copolymer,
Phenoxyethanol, Citrus Grandis (Grapefruit) Peel Oil, Limonene, Glycerin, Polyquaternium-10, Sodium Chloride, Cetyl Alcohol, Sodium Benzoate, Sodium Hydroxide, Ethylhexylglycerin,
Hydrolyzed Ceratonia Siliqua (Carob) Seed Extract, Saccharide Isomerate, Glyceryl Polymethacrylate, Hydrolyzed Rice Protein, Avena Sativa (Oat) Kernel Extract, Butylene Glycol,
Propylene Glycol, Vitis Vinifera (Grape) Seed Extract, Leontopodium Alpinum (Edelweiss) Extract, Malus Domestica Fruit Cell Culture Extract, Steareth-20, Hesperidin Methyl Chalcone,
Sodium Lactate, Camellia Sinensis (Green Tea) Leaf Extract, Citric Acid, Leucojum Aestivum Bulb Extract, Sodium Citrate, Chlorhexidine Digluconate, Potassium Sorbate, Carbomer,
Dipeptide Diaminobutyroyl Benzylamide Diacetate, Glycine Soja (Soybean) Protein, Palmitoyl Tripeptide-5, Superoxide Dismutase, Xanthan Gum, Benzyl Alcohol, Caprylyl Glycol,
Polysorbate 20, Lecithin, Dipeptide-2, Sodium Dextran Sulfate, Palmitoyl Tetrapeptide-7, Acetyl Hexapeptide-8, Acetyl Octapeptide-3, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-1";Hergestellt aus Stammzellen aus leistungsstarken Pflanzen wie Trauben, Leucojum und Edelweiß reinigt und verjüngt dieser ölfreie Reiniger Ihre Haut für ein frischeres Gesicht bei jedem Gebrauch.;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSypJv8jf7xYG4kze2cGAHFA_CEptSTeZqhhRSN1vKUVtieOs4-vr5IZbk__U8ykOOlfYAGAV73dJCDjZzsthQCYecSlp3yqg&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQCf-JBjAdZpaI0ASzlmMRgzRnX_OH4XUJU9T_bru9gwA6r7ejD6OeW44dQ3Qb7pUtDuF6UP2--Dr_CMwUBVM5SmdrA0gpUKA&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS8KbWrl8Bm4NlK46KFK2Lu7RkWpp_o4lQFXaWWsjxCS8FlUs2hDVg_T12NRxL1ZiB6dPggt_INJ5J-xxz9OQp_bxihu1sB-w&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRItOaKFZGtGkRFQDexbpqelM2x8ZM46mYBqMF0XyFXdWld8wDXzdTs7rMX5jVKKKwr7nZUSzjqN_jujxE0VUHuJRef3Ik8&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS0IKs67Iz0hl_R5f7MIq4EUDAivDBWTFbvL8X5It4lPbnhY2idlWO1busW_F4lHKmz2L8Vu-b9FMoFiSCLbeczDasFfa1Ssw&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTCjISolTgDsS6JmrZREd8O44uB1QkANbeIQowyD_91oocmoC5_sr73pifll4H2pHya2M_UNqjdv3QBgq54EDx6WoSGXLh79w&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQZnMKmFyTLnJKPyazZWrTge563hpW2mR0zOUMKTHeO5U_vaE0ELxjJNWZhzu4OgM_g4PuSP-ZZSTChDayMZhVhOrn8WD8X&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSV5pvM0ij1O1pmd96P_xftoOgpXRWWKTg_WhoDxOjgJyZwb5wtSNdmuazGAbSmIwOj0fbmVYLfByv6doHPMw71bgnqhG1UOA&usqp=CAE'];{'Eigenschaften': 'Feuchtigkeitsspendend, Für Empfindliche Haut, Anti-Aging, Ölfrei, Parfümfrei', 'Hauttyp': 'Für Trockene Haut, Für Mischhaut', 'Hauptbestandteil': 'Pflanzenextrakte', 'Form': 'Gel'}
