Kategorie;articleordernumber;Bild;Artikelname;EAN;Größe;Purchaseprice;UVP;VE;Menge;Gesamt;manufacturer
DUSCHGEL;PF0101GD500CO;nan;Shower Gel 500ml COTTON FLOWER;3551780006104;500ml;14,00 €;28,00 €;6;3.0;42,00 €;La compagnie de provence
DUSCHGEL;PF0101GD200AG;nan;Shower Gel 200ml SPARKLING CITRUS;3551780006869;200ml;6,00 €;12,00 €;6;3.0;18,00 €;La compagnie de provence
HAND- UND KÖRPERLOTION;PF0101MC300RV;nan;Hand and Body Lotion 300ML REVITALIZING ROSEMARY;3551780007514;300ml;18,50 €;37,00 €;6;3.0; 	-     ;La compagnie de provence
HAND- UND KÖRPERLOTION;PF0101MC300AG;nan;Hand and Body Lotion 300ML PET SPARKLING CITRUS;3551780006111;300 ml;18,50 €;37,00 €;6;3.0; 	-     ;La compagnie de provence
HAND- UND KÖRPERLOTION;PF0101MC300CO;nan;Hand and Body Lotion 300ML PET COTTON FLOWER;3551780006128;300 ml;18,50 €;37,00 €;6;3.0; 	-     ;La compagnie de provence
FLÜSSIGSEIFE;PF0112SL01LDE;nan;Liquid Soap Marseille 1L Refill REFILL DELICATE;3551780003622;1000ml;17,50 €;35,00 €;6;nan; 	-     ;La compagnie de provence
FLÜSSIGSEIFE;PF0112SL01LCS;nan;Liquid Soap Marseille 1L Refill CASHMERE;3551780003639;1000ml;17,50 €;35,00 €;6;nan; 	-     ;La compagnie de provence
FLÜSSIGSEIFE;PF0112SL300DE;nan;Liquid Soap Marseille 300ml DELICATE;3551780003585;300ml;11,00 €;22,00 €;6;3.0;33,00 €;La compagnie de provence
FLÜSSIGSEIFE;PF0112SL300CS;nan;Liquid Soap Marseille 300ml CASHMERE;3551780003592;300ml;11,00 €;22,00 €;6;3.0;33,00 €;La compagnie de provence
HANDCREME;PF0112CM300DE;nan;Hand Cream 300ml DELICATE;3551780003608;300ml;16,50 €;33,00 €;6;3.0;49,50 €;La compagnie de provence
HANDCREME;PF0112CM300CS;nan;Hand Cream 300ml CASHMERE;3551780003615;300ml;16,50 €;33,00 €;6;3.0;49,50 €;La compagnie de provence
FLÜSSIGSEIFE;PF0103SL01LTB1;nan;Liquid Soap Marseille 1L Refill WHITE TEA;3551780003134;1000ml;17,50 €;35,00 €;6;nan; 	-     ;La compagnie de provence
FLÜSSIGSEIFE;PF0103SL01LTN1;nan;Liquid Soap Marseille 1L Refill REFILL BLACK TEA;3551780003158;1000ml;17,50 €;35,00 €;6;nan; 	-     ;La compagnie de provence
FLÜSSIGSEIFE;CDP69522;nan;Liquid Soap Marseille 495ml WHITE TEA;3551780695223;500ml;13,00 €;26,00 €;6;3.0;39,00 €;La compagnie de provence
