Kategorie;mainDetailNumber;Bild;name;mainDetailEAN;mainDetailweight;Purchaseprice;pseudoprice;purchaseunitdetail;Menge;Gesamt;description_long;product_photos;product_attributes
SENSITIVE;PF0118SL500SA;nan;Liquid Marseille Soap 495ml Sensitive Skin;3551780010842;495ml;12,50 €;25,00 €;6;3.0; 	37,50 € ;Die La Compagnie de Provence Liquid Marseille Soap Sensitve Skin ist eine, in einem Kessel nach traditionellen Methoden hergestellte Seife und ist mit einem exklusiven Lipid-Trio aus den hochwertigsten botanischen Ölen aus Frankreich angereichert. Sie ist für die Anwendung in der Familie konzipiert und reinigt sanft Hände und Körper, während sie den Feuchtigkeitsgehalt der Haut erhält. Dermatologisch an einem Panel empfindlicher Haut getestet 99% Inhaltsstoffe natürlichen Ursprungs Hergestellt in Frankreich Parfümfrei Anwendung: Jetzt ist es Zeit, sich einzuschäumen! Drücken Sie ein- oder zweimal auf die Pumpe, um die Seife auf Ihre nassen Hände aufzutragen, schäumen Sie sie sanft auf und spülen Sie sie dann mit klarem Wasser ab. Geeignet für den häufigen Gebrauch. Kann für den Körper verwendet werden. Nur zur äußeren Anwendung. Vermeiden Sie den Kontakt mit den Augen. Sollte das Produkt mit den Augen in Berührung kommen, gründlich mit Wasser ausspülen.;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRcTKHRM60w73F2JbkGdUCXnfLnbSreU7CA6xGbJxPMayjLKwstCXH_WDl_qSGa60nEFnLEhL51g-bcduXGPlmPmP6kh3TX-w&usqp=CAE'];
SENSITIVE;PF0118SL01LSA;nan;Liquid Marseille Soap 1L Refill Sensitive Skin;3551780010859;1000ml;17,00 €;34,00 €;6;nan; 	-     ;Diese in einem Kessel nach traditionellen Methoden hergestellte Seife ist mit einem exklusiven Lipid-Trio aus den hochwertigsten botanischen Ölen aus Frankreich angereichert. Sie ist für die Anwendung in der Familie konzipiert und reinigt sanft Hände und Körper, während sie den Feuchtigkeitsgehalt der Haut erhält. Dermatologisch an einem Panel empfindlicher Haut getestet. 99% Inhaltsstoffe natürlichen Ursprungs. Hergestellt in Frankreich.;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRcTKHRM60w73F2JbkGdUCXnfLnbSreU7CA6xGbJxPMayjLKwstCXH_WDl_qSGa60nEFnLEhL51g-bcduXGPlmPmP6kh3TX-w&usqp=CAE'];
SENSITIVE;PF0118SL300SA;nan;Liquid Marseille Soap 300ml Sensitive Skin ;3551780010866;300ml;9,00 €;18,00 €;6;3.0; 	27,00 € ;Die La Compagnie de Provence Liquid Marseille Soap Sensitve Skin ist eine, in einem Kessel nach traditionellen Methoden hergestellte Seife und ist mit einem exklusiven Lipid-Trio aus den hochwertigsten botanischen Ölen aus Frankreich angereichert. Sie ist für die Anwendung in der Familie konzipiert und reinigt sanft Hände und Körper, während sie den Feuchtigkeitsgehalt der Haut erhält. Dermatologisch an einem Panel empfindlicher Haut getestet 99% Inhaltsstoffe natürlichen Ursprungs Hergestellt in Frankreich Parfümfrei Anwendung: Jetzt ist es Zeit, sich einzuschäumen! Drücken Sie ein- oder zweimal auf die Pumpe, um die Seife auf Ihre nassen Hände aufzutragen, schäumen Sie sie sanft auf und spülen Sie sie dann mit klarem Wasser ab. Geeignet für den häufigen Gebrauch. Kann für den Körper verwendet werden. Nur zur äußeren Anwendung. Vermeiden Sie den Kontakt mit den Augen. Sollte das Produkt mit den Augen in Berührung kommen, gründlich mit Wasser ausspülen.;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRcTKHRM60w73F2JbkGdUCXnfLnbSreU7CA6xGbJxPMayjLKwstCXH_WDl_qSGa60nEFnLEhL51g-bcduXGPlmPmP6kh3TX-w&usqp=CAE'];
SENSITIVE;PF0118SS085SA;nan;Solid Face Cleanser 85g Sensitive Skin;3551780010873;85g;11,50 €;23,00 €;6;3.0; 	34,50 € ;Dieser Gesichtsreiniger wurde ohne Seife und aus 100 % natürlichen Inhaltsstoffen formuliert und beseitigt Unreinheiten, während er gleichzeitig die Feuchtigkeit bewahrt. Speziell für empfindliche Haut entwickelt, kombiniert es ausgleichende natürliche Präbiotika mit einem Komplex aus beruhigenden pflanzlichen Ölen. Das Ergebnis ist eine perfekt gereinigte und angenehme Haut. Dermatologisch getestet an einer Gruppe empfindlicher Haut.;['https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcReaYvsixUYYNf-tyPafW1wXua2lFdev0Ms7Febci54soK4hC583-6fTofpYmKIWrYWa2Rc_x4g5npPlwXHFQWCQWB4hemYTg&usqp=CAE'];
FACECARE;PF0115CV050AV;nan;Face Cream Sorbet Cream 50ml SEAWEED ;3551780007095;50ml;16,00 €;32,00 €;6;nan; 	-     ;"Seidige Gesichtscreme spendet bis zu 48 Stunden lang Feuchtigkeit und schützt die Haut vor Verunreinigungen Angereichert mit ""Filz-Algen"" aus dem Mittelmeerraum und botanischen Ölen, spendet die seidige Gesichtscreme bis zu 48 Stunden lang Feuchtigkeit und schützt die Haut vor Verunreinigungen. Die mineralstoffreiche Filzalge hilft, die Haut mit Feuchtigkeit zu versorgen und ihre Barrierefunktion wiederherzustellen. Ein kostbares Duo botanischer Öle aus der Provence wie dem PDO-Olivenöl, das die Haut nährt und sie vor Umwelteinflüssen schützt. Süßes Mandelöl und pflanzliches Squalan wirken beruhigend. Die Gel-Creme-Textur hat einen lang anhaltenden Erfrischungseffekt, während der frische, zarte Duft die Sinne verwöhnt. Ihre Haut fühlt sich an, als könne sie wieder atmen, als hätten Sie gerade ein belebendes Bad im Meer genossen. Die schnell einziehende Formel hinterlässt ein angenehmes, samtig-weiches Hautgefühl, ohne zu fetten. Die Haut wird bis zu 48 Stunden lang mit Feuchtigkeit versorgt, sieht strahlend aus und fühlt sich geschützt an. Ideal für alle Haut, die Feuchtigkeit und Komfort braucht. Dermatologisch getestet.";['https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSme3m6mhDT-v3lugphfiNgfg8Nm_uRakNuc8jAGt2dAurtN5Aai12u8KldLEAS90fDAS0JJm292_shYa2O-jLYRHMLpyYJ&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRShgCvCA3w5ZKBkbz0212B72YAwoxz-vWaYzLvRNTTmk7kCKWH_RW-3lDG_S2E61FWnGbI0wmxz49RvNsK3plUW2rPbfzw&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQAo37SEB--R01Oc1fEP-OsMHWYzAbiQweEKDKYhWvuSdlAVTygeEy_VLSVfaWjXTO7ccbYIp7Hwd3H2daCxmG8BcU9pVMkDg&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSUR5Zbfmjg6JvtYJ30MsT4PRqekzgZfZz1Q3_VfMA7A9kCgeFr4qcLszyjxJc1sc027k3xhTJ_14taiY6FNNzbqg6aOqEhFQ&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQHkS55gJrLKzLWCxAh_M0lGg5vfzrGkaKaZlESu_PlU2qCCg5gyh7vXtsfDJA3An3jsTdBdijfWyoZeOGnIkNwVrRQMzZy&usqp=CAE'];{'Gesichtspflegetyp': 'Tag', 'Inhaltsstoffe': 'Sheabutter, Algen, Olivenöl, Squalanöl', 'Wirkung': 'Anti-Aging', 'Hauttyp': 'Normal', 'Form': 'Creme'}
FACECARE;PF0105CV050KA;nan;Face Cream Silky Cream 50ml KARITE | SHEA;3551780008351;50ml;16,00 €;32,00 €;6;nan; 	-     ;Made in Frankreich. Zone: gesicht. Trockene haut, sensible haut. Creme. Funktion: feuchtigkeitsspendend, beruhigend, nahrhaft, schutz. Neu mit Designerverpackung. Nützliche informationen: dermatologisch und klinisch getestet, vermeiden sie den kontakt mit den augen;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ2oKbGwVDluuNnLSY8YPeyDp3yOMCpyZdS8GOz_bnOHNWfLl8x6FkvAPHxK0UqENPaldZkTSBnhnu7Wu-oVRIBpIDx-Ir1&usqp=CAE'];{'Hauttyp': 'Trocken', 'Inhaltsstoffe': 'Sheabutter', 'Form': 'Creme'}
FACECARE;PF0113HD140SK;nan;Cleansing Oil 140ml;3551780007507;140ml;16,00 €;32,00 €;6;nan; 	-     ;Dieses feuchtigkeitsspendende Reinigungsöl besteht zu 99 % aus natürlichen Inhaltsstoffen und entfernt sanft Make-up und Unreinheiten. Es wurde für die Pflege von Gesicht, Augen und Lippen entwickelt und verwandelt sich bei Kontakt mit Wasser in eine milchige Lotion. Es löst Unreinheiten und lässt sich leicht abspülen, ohne der Haut ihre natürliche Feuchtigkeit zu entziehen. Dank der Kraft der pflanzlichen Bio-Öle (54% der Formel) ermöglicht dieses Reinigungsöl eine schnelle, wirksame und wattefreie Make-up-Entfernung. Sonnenblumenkernöl, reich an Omega-6-Fettsäuren, spendet Feuchtigkeit und verschönert die Haut. Jojojobaöl mit ausgleichenden Eigenschaften bildet eine Schutzbarriere. Rizinusöl hilft schließlich, die Haut zu beruhigen und zu pflegen. Sein Duft mit beruhigenden Noten von Mandel und Jasmin macht Ihre tägliche Schönheitsroutine zu einem wahren Schönheitsritual. Ihre Haut ist sauber, frei von Make-up, hydratisiert und beruhigt.;['https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTIcM-pQyRYESB1zmEZdkkSbJzzzYu_STZhx8KDZxZWGAp_frc_GVeloo4hOCL4QvfsjMyme1kxtc6w7gY_pZ25MZnGmSj_oA&usqp=CAE'];{'Eigenschaften': 'Feuchtigkeitsspendend, Nicht Komedogen', 'Hauptbestandteil': 'Pflanzenextrakte', 'Form': 'Öl'}
FACECARE;PF0113CV050FI;nan;Light Face Cream 50ml FIG ANTIOXYDANTE;3551780005725;50ml;25,00 €;50,00 €;6;nan; 	-     ;Die Light Face Cream von La Compagnie de Provence ist eine kostbare Hautpflege, die der Haut Frische und Vitalität verleiht. Ihre Formel ist mit Olivenöl und Süßmandelöl sowie Feige aus der Provence angereichert. Sie durchflutet die Haut mit wohltuender Feuchtigkeit und wirkt somit Trockenheits- und Spannungsgefühlen entgegen. Gleichzeitig glättet sie die Haut und bringt sie zum Strahlen. Die Feuchtigkeitspflege bietet der Haut optimalen Schutz vor schädlichen Umwelteinflüssen. Sie hinterlässt die Haut geschmeidig weich und jugendlich zart.Leichte Hautpflege für glatte, strahlend schöne Haut Die Light Face Cream von La Compagnie de Provence hydratisiert die Haut bis in die tiefen Schichten und bewahrt sie vor Feuchtigkeitsverlust. Dank ihrer antioxidativen Eigenschaften schützt sie die Haut vor freien Radikalen und schädlichen Umwelteinflüssen. Sie glättet die Haut und schenkt ihr ein jugendlich strahlendes Aussehen. Ihre Formel eignet sich für alle Hauttypen, auch für trockene Haut. Tragen Sie die Feuchtigkeitspflege morgens und abends auf das Gesicht auf und massieren sie mit kleinen, kreisenden Bewegungen in die Haut ein. Erleben Sie glatte, seidig weiche Haut mit jugendlicher Leuchtkraft!;['https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR5sEG3ICnfyGkT04pwB7eIX7a890VdW9P_Y6GE6t5U_-tyYadN8IVhBmSnH_J0l4dIzO0PyPa9TAt6XqdoU22ggibM-C88Dw&usqp=CAE'];{'Gesichtspflegetyp': 'Tag', 'Inhaltsstoffe': 'Vitamin E, Sheabutter, Feige, Sesamöl, Olivenöl', 'Wirkung': 'Anti-Aging', 'Hauttyp': 'Trocken', 'Art des Behälters': 'Krug', 'Form': 'Creme'}
FACECARE;PF0113SE030FI;nan;Face Serum in Oil 30ml FIG ANTIOXYDANTE;3551780005701;30ml;26,00 €;52,00 €;6;nan; 	-     ;Ein Produkt, das die Leistung eines Serums mit dem Komfort botanischer Öle verbindet. Diese natürliche Formel mit der antioxidativ wirkenden Feige kombiniert die besten pflanzlichen Öle mit der Feige aus der Provence, um die Hautfeuchtigkeit zu verbessern und die ersten Anzeichen der Hautalterung zu bekämpfen. Ergebnisse: Falten und Anzeichen von Müdigkeit werden sichtbar reduziert. Ihre Haut sieht glatter und strahlender aus. Sie fühlt sich perfekt hydriert an und ist bereit für Ihre Tages- oder Nachtcreme. Bewährte Wirksamkeit : Antioxidative Wirkung, um die Haut jung aussehen und sich jung fühlen zu lassen. +23% Feuchtigkeit-24,9 % bei der Anzahl der Falten -35,2% bei der Dauer der Falteninstrumental measurement on 15/20 volunteers after applying the product twice a day for 28 days.;['https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQL-LExMWbXzHYF7u-UUQKCr01o90bsL7XSsClyB-Hi74X-TblQsw67-VBnHZiuY9FagQK9XFSTBCDkHJMi118vLd5FCZRq&usqp=CAE'];{'Gesichtspflegetyp': 'Nachts', 'Inhaltsstoffe': 'Feige, Olivenöl', 'Wirkung': 'Anti-Aging', 'Hauttyp': 'Trocken', 'Art des Behälters': 'Flasche', 'Form': 'Serum', 'Hautproblem': 'Falten'}
FACECARE;PF0113MV075FI;nan;Sleeping Face Mask 75ml FIG ANTIOXYDANTE;3551780005718;75ml;22,50 €;45,00 €;6;nan; 	-     ;Die Night Face Mask von La Compagnie de Provence ist eine bahnbrechende Hautpflege, die über Nacht Anzeichen der Hautalterung bekämpft. Ihre Formel basiert auf kostbaren pflanzlichen Ölen aus der Provence, wie Süßmandel- und Olivenöl. Diese durchfluten die Haut lang anhaltend mit Feuchtigkeit und optimieren somit ihren Feuchtigkeitshaushalt, während Sie schlafen. Außerdem enthält die Feuchtigkeitspflege Feige aus der Provence, die Anzeichen von Müdigkeit und das Erscheinungsbild von Mimikfalten sichtbar mildert. Am Morgen fühlt sich die Haut prall und weich an. Sie sieht wunderbar erholt und rosig frisch aus. Reichhaltige Hautpflege für ausgeruhte, jugendlich frische Haut Die Night Face Mask von La Compagnie de Provence versorgt die Haut über Nacht intensiv mit Feuchtigkeit. Anzeichen der Hautalterung wie Müdigkeitserscheinungen und Mimikfalten minimiert sie sichtbar. Sie pflegt die Haut geschmeidig weich und lässt sie am Morgen ausgeruht und frisch aussehen. Ihre Formel ist frei von Farbstoffen, tierischen Fetten und synthetischen Tensiden. Tragen Sie zweimal pro Woche eine dicke Schicht der Feuchtigkeitspflege auf Ihr Gesicht auf. Nach 15 Minuten Einwirkzeit spülen Sie die Textur ab. Sie können die Maske auch in dünner Schicht auftragen und über Nacht einwirken lassen. Genießen Sie pralle, glatte, strahlend schöne Haut!;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR6m1UeZXXz_FYO0D58g6h14Mkzhbts0Yc-8_OG7Yla83v_Sfn8Cd3nUsf5Lx3RWh4Wia5Nqj4WBX-Hw67k_VBQ4AXjOG6c2Q&usqp=CAE'];{'Eigenschaften': 'Nachtmaske', 'Wirkung': 'Faltenglättung'}
LIMITED EDITION;PF0109SL500BS;nan;Liquid Soap Marseille 495ml FESTIVE PINE;3551780009495;495 ml;13,50 €;27,00 €;6;3.0; 	40,50 € ;Die La Compagnie de Provence Festive Pine Liquid Soap Marseille ist eine Seife die in einem Kessel nach traditionellen Methoden hergestellt wird und ist mit pflanzlichen Ölen aus der Provence angereichert. Sie reinigt die Haut sanft und hilft gleichzeitig, den Feuchtigkeitsgehalt der Haut zu erhalten. Ein fruchtig-holziger Duft, der in Grasse kreiert wurde, wo sich der Duft der Kiefer mit Noten von Sandelholz und Früchten vermischt und eine warme und festliche Atmosphäre schafft. Anwendung: Es ist Zeit, sich einzuschäumen! Drücken Sie ein- oder zweimal auf die Pumpe, um die Seife auf Ihre nassen Hände zu verteilen, schäumen Sie sie sanft auf und spülen Sie sie dann mit klarem Wasser ab. Geeignet für den häufigen Gebrauch. Kann für den Körper verwendet werden. Nur zur äußerlichen Anwendung. Vermeiden Sie den Kontakt mit den Augen. Sollte das Produkt mit den Augen in Berührung kommen, gründlich mit Wasser ausspülen.;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSwfOtabw6_xmlqd2pupLNTv45R0p_N8nGzWQ1EgHzj31tPGGo&usqp=CAE', 'https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ7BQFprA7NQfh5cBp2XAuQjiRQFA4JRbxLi2Q_sr1Rbp5PzPZ0WmwWnS8ROEoj-2CjSUn-VNeD1oiZYVjHNy8aQV4vTz3V&usqp=CAE'];
LIMITED EDITION;PF0109SL500BE;nan;Liquid Soap Marseille 495ml WOODS & SPICES;3551780009501;495 ml;13,50 €;27,00 €;6;3.0; 	40,50 € ;Diese Seife wird in einem Kessel nach traditionellen Methoden hergestellt und ist mit pflanzlichen Ölen aus der Provence angereichert. Sie reinigt die Haut sanft und hilft, den Feuchtigkeitsgehalt der Haut zu erhalten. Dieser grüne, holzige und würzige Duft wurde in Grasse kreiert und vereint den reinen Duft mediterraner Pinien mit warmen Noten von Patchouli und Zimt.;['https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSncBVxIiGnohnKsbomtPjSzTNJa4RriwhvR7slgxJQzhFM1JA&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRfPJ4nLO91vNG8wUXOgasjF-85ShgDxCfbweRMl7UgedOctq0RW0j7y4cY-zWw1Jx61fWD7IWdDxLW9-xw8I41S2gSARLk&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRkELz1wk0z2qYqnoc8iwkb4qrkDFkSG-oWfjM2PYOP6cOgo10HXgJN3HmVAjyk6IimRIjHoEVe_1IWVCMZgUM9wTyZG00GLQ&usqp=CAE'];
LIMITED EDITION;PF0109BP150BS;nan;Scented Candle 150g FESTIVE PINE ;3551780009518;150 gr;24,50 €;49,00 €;6;3.0; 	73,50 € ;Die La Compagnie de Provence Sented Candle Festive Pine Duftkerze wird in Handarbeit aus 100% pflanzlichem Wachs hergestellt, das aus in Europa angebautem Raps gewonnen wird. Sie bietet ein einzigartiges Dufterlebnis. Eine helle Flamme und ein schöner Duft, der eine warme Atmosphäre schafft und die Weihnachtszeit erhellt! Die holzigen Noten der Kiefer vermischen sich mit den köstlichen Düften von Apfel und Bergkristallzucker zu einem Duft, der sofort an einen frisch geschmückten Weihnachtsbaum erinnert. Ein Docht aus reiner Baumwolle und natürliches Wachs sorgen dafür, dass sich der in Grasse kreierte Duft perfekt verbreitet. Der wiederverwendbare Glastiegel wird in Frankreich im Siebdruckverfahren bedruckt, während der Deckel speziell entwickelt wurde, um die Qualität des Wachses und die Intensität des Duftes zu bewahren. Brenndauer: ca. 30 Stunden. Anwendung: Zünden Sie Ihre Duftkerze an und atmen Sie den kühnen, überraschenden Duft der Kiefer ein, der sich mit den köstlichen Düften von Apfel und Bergkristallzucker vermischt. Lassen Sie sich mitreißen von der festlichen Energie, die dieser Duft ausstrahlt, und dem guten Gefühl, das er mit sich bringt. Lassen Sie Ihr Glück leuchten und ansteckend sein!;['https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSJB4F9b0TNIcE4Dk8gk-I5TkXYKRuH7yNCYyuttxmOsm5Ge2rHbWPOzjUTiU4r_OOwLiDLMXhU-gXBYqjVqm8C1H3DrSKf&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRInl2_oeTwUue7tzaf21lVqiF3KODphIpSH9AyGvJHiKq5V1pk1oGpmpM8BgaZLlWu4PfVOxEh54cH63OcyfPrwsdgUtwgqQ&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSyfZ4CYRr-lYhvE3bLqtLOGJtvtDwuJ-5hSM6tuvYdZpDEdJGLhOpb0irLBuzAhmY4JlcxyjV48dTH-MYjsXbuCjMC6VKG4A&usqp=CAE'];{'Eigenschaften': 'Duftkerze'}
GIFT SETS;CO0105MU20221;nan;"SHEA ESSENTIALS 2022 (Shower Oil 30ml, Handcream 30ml & Dry Oil 100ml)";3551780009600;1 Stk.;29,50 €;59,00 €;4;nan; 	-     ;Jetzt mit 50% Rabatt während des Sale. Dieses schöne Geschenkset von Compagnie de Provence möchte man eigentlich nicht verschenken, sondern selbst behalten! Dieses Geschenkpaket enthält drei schöne Produkte aus der Shea-Kollektion von Compagnie de Provence, um Ihr Badezimmerritual zu vervollständigen! Huile Sèche Dry Oil 100 ml Erhellen Sie Ihre Schönheitsroutine mit diesem trockenen Öl, das sich so weich anfühlt wie Samt. Diese Formel besteht aus 99 % natürlichen Inhaltsstoffen und ist eine kostbare Mischung aus ultra-nährendem Shea-Absolue, hautberuhigendem reinem Traubenkernöl, süßem Mandelöl und Bio-Olivenöl aus der ersten Pressung mit feuchtigkeitsspendenden Eigenschaften. Mit seiner exquisiten, zarten Textur kann dieses multifunktionale Öl auf Gesicht, Körper und Haar verwendet werden.Crème Mains Hand Cream 30 ml Diese ultraweiche Creme, bestehend aus 20 % Fairtrade-Sheabutter, pflegt und macht die Haut intensiv weich und schützt sie vor äußeren Stressfaktoren. Ergebnisse: Ihre Hände fühlen sich perfekt angenehm und weich an.Huile De Douche Shower Oil 30 ml Versorgt in einem Wasserkocher in Übereinstimmung mit traditionellen Produktionsmethoden, verwandelt sich unsere Flüssigseife in einen feinen Schaum, der die Haut sanft reinigt. Aus 97,1 % natürlichen Inhaltsstoffen und mit Sheabutter angereichert, reinigt es die Haut perfekt, ohne sie auszutrocknen. Darüber hinaus ist es in einer eleganten nachfüllbaren Glasflasche erhältlich, die in jedem Haus fantastisch aussieht!;['https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT5dpD7Ran3ci7bMFgbsoxuZlB4FLKSDKgxCbtZtI3MQ_QlYXpkYo1H9okh5O0oG8XUIE5nTIsOrvXmZM79gSsKtUcnT5ze&usqp=CAE'];{'Präsentation/Verpackung': 'Schachtel'}
GIFT SETS;CO0103TN20221;nan;"SOFT SKIN KIT - BLACK TEA 2022(Liquid Soap 495ml & Handcream 300ml)";3551780009426;1 Stk.;26,50 €;53,00 €;4;nan; 	-     ;Made in Frankreich. Zone: körper, hände. Creme, flüssig. Funktion: reinigend, feuchtigkeitsspendend. Neu mit Designerverpackung. Nützliche informationen: vermeiden sie den kontakt mit den augen;['https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRh1ktCzEx6MkzwHOAEyVDxqi7DH6xRbbU9vJstIjIJ-7AgUU8Hyx-kIzwzXw4xzyGCVx3xeFseX-dj-_A76Ke7Bx3mLZ00PA&usqp=CAE'];
SEAWEED;PF0115CC200AV;nan;Ultra-Hydrating Body Cream 200ml SEAWEED;3551780007101;200ml;21,00 €;42,00 €;6;3.0; 	63,00 € ;Luxeriöse Bodycreme mit frischem Duft. Angereichert mit Algen aus dem Mittelmeerraum und botanischen Ölen, wirkt diese seidige Körpercreme glättend und belebend auf der Haut und spendet bis zu 48 Stunden lang Feuchtigkeit. Kostbares Duo aus botanischen Ölen der Provence: PDO-Olivenöl, um die Haut zu nähren und vor äußeren Einflüssen zu schützen, indem es wie ein Schutzschild wirkt. Süßes Mandelöl um die Haut zu beruhigen und weich zu machen. Sheabutter um die Haut zu nähren. Die Gel-Creme-Textur hat eine sofortige erfrischende und belebende Wirkung, wie ein belebendes Bad im Meer. Sie zieht schnell ein und hinterlässt ein angenehmes, samtig-weiches Hautgefühl, ohne zu fetten, und umhüllt von einem dezenten, frischen und zarten Duft. Mehr zu diesem Produkt: Ideal für jede Haut, die Feuchtigkeit und Komfort braucht Frischer und zarter Duft Hydratisiert, beruhigt und schützt Dermatologisch getestet.;['https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR9SwPMWxKoi2DIygIeVjyWwBpY6HOkSpgCeFGvPj9dg18vMXESWJ4Esms6qwjLTE6vKHI50FQqcC-lIqcdcJe0DfWJkz5dHQ&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSN-O2QKh2F_kom05kV0rmJChm6WODUw-Q8K0BhV1BSbC0TV1YJ-oRLLFoD05hWgM7IGaKWfwWSRltIH9ikTnxKbL3hdAdG&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQGwrArkp0LKM6n9r6mLHUqD46xitM1aYki0-yUJ1VisnvpZsQilbm0iE0jI2BegIzAm2wtNTaamIUGYXx0C2gLVIm3U7_ZbA&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRO-JwyJ1b2U2DrNizyS0m76AMp5oQJ0UBOkczNyMRwH-mZhEboNNBjSnbcqyWQkc46GOSH8ohUc0SCbk2igIBCPM2nRxML&usqp=CAE', 'https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSUR5Zbfmjg6JvtYJ30MsT4PRqekzgZfZz1Q3_VfMA7A9kCgeFr4qcLszyjxJc1sc027k3xhTJ_14taiY6FNNzbqg6aOqEhFQ&usqp=CAE', 'https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQfFJJBXo-GEeIg6f6gbTg34BvlyNw-GlRErlGp1nkjKCUjPC1qjWeMUqZeP3McTcyNaIOjXZgsgLaKNl63QZ-J3a4YJoFH&usqp=CAE', 'https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSfcIIdU2Uuhe4T1Cngk5cKtGhhPNOIx-LM_OpUSV0jerUXAYegkcXVr1JujR-cxVjfHZfCEBL1k_7K5vehaVwPTyKzlC4npQ&usqp=CAE'];{'Anwendungsbereich': 'Hand', 'Inhaltsstoffe': 'Sheabutter, Algen, Olivenöl', 'Wirkung': 'Ultra', 'Hauttyp': 'Normal', 'Form': 'Creme'}
SEAWEED;PF0115CM075AV;nan;Ultra-Hydrating Hand Cream 75ml SEAWEED;3551780007132;75ml;11,00 €;22,00 €;6;3.0; 	33,00 € ;Made in Frankreich. Zone: hände. Creme. Funktion: feuchtigkeitsspendend, beruhigende, schutz. Neu mit Designerverpackung. Nützliche informationen: dermatologisch getestet, vermeiden sie den kontakt mit den augen;['https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTHKu0DCjG1cDoIhV16KF_5a1GwmQoAxlKQ0h-2X4xP2jEbAXX8EIKIC1ZE-JBrjgDeXIxxZESeGsi68nIomHPZwO5VSKCBEg&usqp=CAE'];{'Hauttyp': 'Normal', 'Form': 'Creme'}
